Tanggal,Cabang,Nama Produk,Harga per Produk,Jumlah Terjual,is_weekday
2024-10-22,Cafe Kantor SCBD,Cappuccino,22000,165,True
2024-09-15,Cafe Perumahan Cijantung,Cappuccino,22000,198,False
2024-09-09,Cafe Kantor SCBD,Cappuccino,22000,255,True
2024-09-26,Cafe Mall Kokas,Cafe Latte,23000,111,True
2024-10-02,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,76,True
2024-09-13,Cafe Kantor SCBD,Milk Tea,21000,180,True
2024-10-14,Cafe Mall Kokas,Milk Tea,21000,108,True
2024-09-16,Cafe Perumahan Tebet,Cappuccino,22000,69,True
2024-08-30,Cafe Perumahan Tebet,Milk Tea,21000,50,True
2024-09-11,Cafe Perumahan Tebet,Cafe Latte,23000,82,True
2024-10-14,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,36,True
2024-10-18,Cafe Kantor SCBD,Cafe Latte,23000,96,True
2024-09-24,Cafe Mall Kokas,Americano,20000,102,True
2024-09-12,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,37,True
2024-10-01,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,243,True
2024-10-24,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,165,True
2024-09-09,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,83,True
2024-10-11,Cafe Mall Kokas,Milk Tea,21000,207,True
2024-10-09,Cafe Mall Kokas,Cafe Latte,23000,273,True
2024-09-05,Cafe Perumahan Cijantung,Cappuccino,22000,18,True
2024-09-06,Cafe Perumahan Cijantung,Cafe Latte,23000,63,True
2024-09-16,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,68,True
2024-09-16,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,111,True
2024-10-25,Cafe Kantor SCBD,Kopi Susu Gula Aren,25000,165,True
2024-10-12,Cafe Kantor SCBD,Kopi Susu Gula Aren,25000,20,False
2024-09-06,Cafe Mall Kokas,Cappuccino,22000,252,True
2024-09-24,Cafe Perumahan Cijantung,Cappuccino,22000,96,True
2024-08-31,Cafe Perumahan Tebet,Cafe Latte,23000,172,False
2024-10-12,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,58,False
2024-09-29,Cafe Perumahan Tebet,Cafe Latte,23000,116,False
2024-08-27,Cafe Perumahan Tebet,Americano,20000,66,True
2024-10-25,Cafe Mall Kokas,Americano,20000,246,True
2024-09-18,Cafe Kantor SCBD,Americano,20000,102,True
2024-10-05,Cafe Perumahan Tebet,Milk Tea,21000,110,False
2024-08-31,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,182,False
2024-10-20,Cafe Perumahan Tebet,Americano,20000,138,False
2024-09-29,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,74,False
2024-10-03,Cafe Perumahan Tebet,Americano,20000,15,True
2024-09-21,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,150,False
2024-09-07,Cafe Perumahan Cijantung,Americano,20000,188,False
2024-10-05,Cafe Perumahan Tebet,Milk Tea,21000,110,False
2024-09-05,Cafe Perumahan Cijantung,Cafe Latte,23000,26,True
2024-09-21,Cafe Mall Kokas,Cappuccino,22000,67,False
2024-10-08,Cafe Mall Kokas,Milk Tea,21000,252,True
2024-10-18,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,71,True
2024-09-06,Cafe Kantor SCBD,Americano,20000,129,True
2024-09-02,Cafe Mall Kokas,Americano,20000,180,True
2024-09-14,Cafe Perumahan Tebet,Cappuccino,22000,124,False
2024-08-28,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,24,True
2024-09-08,Cafe Kantor SCBD,Kopi Susu Gula Aren,25000,19,False
2024-09-28,Cafe Mall Kokas,Milk Tea,21000,44,False
2024-09-21,Cafe Mall Kokas,Cappuccino,22000,65,False
2024-09-02,Cafe Kantor SCBD,Kopi Susu Gula Aren,25000,183,True
2024-09-12,Cafe Perumahan Cijantung,Milk Tea,21000,14,True
2024-09-28,Cafe Kantor SCBD,Americano,20000,25,False
2024-10-23,Cafe Mall Kokas,Milk Tea,21000,258,True
2024-08-30,Cafe Kantor SCBD,Cappuccino,22000,102,True
2024-09-14,Cafe Perumahan Tebet,Milk Tea,21000,100,False
2024-08-29,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,52,True
2024-10-22,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,117,True
2024-10-14,Cafe Kantor SCBD,Americano,20000,216,True
2024-09-03,Cafe Perumahan Tebet,Americano,20000,49,True
2024-09-17,Cafe Mall Kokas,Milk Tea,21000,213,True
2024-09-26,Cafe Kantor SCBD,Cafe Latte,23000,93,True
2024-10-18,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,222,True
2024-09-25,Cafe Perumahan Cijantung,Milk Tea,21000,34,True
2024-10-21,Cafe Mall Kokas,Milk Tea,21000,156,True
2024-10-14,Cafe Perumahan Tebet,Americano,20000,39,True
2024-10-04,Cafe Perumahan Tebet,Americano,20000,14,True
2024-09-07,Cafe Perumahan Cijantung,Cafe Latte,23000,58,False
2024-10-17,Cafe Mall Kokas,Cafe Latte,23000,180,True
2024-10-13,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,120,False
2024-09-28,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,30,False
2024-09-15,Cafe Mall Kokas,Cafe Latte,23000,22,False
2024-09-06,Cafe Perumahan Tebet,Cafe Latte,23000,87,True
2024-10-08,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,93,True
2024-09-01,Cafe Perumahan Cijantung,Cappuccino,22000,104,False
2024-09-13,Cafe Perumahan Tebet,Milk Tea,21000,85,True
2024-10-02,Cafe Kantor SCBD,Cappuccino,22000,297,True
2024-10-08,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,18,True
2024-10-06,Cafe Mall Kokas,Milk Tea,21000,91,False
2024-10-09,Cafe Perumahan Tebet,Americano,20000,66,True
2024-09-27,Cafe Kantor SCBD,Cafe Latte,23000,99,True
2024-10-16,Cafe Mall Kokas,Cafe Latte,23000,84,True
2024-09-08,Cafe Perumahan Cijantung,Cafe Latte,23000,102,False
2024-10-08,Cafe Mall Kokas,Americano,20000,96,True
2024-10-21,Cafe Perumahan Tebet,Milk Tea,21000,93,True
2024-10-12,Cafe Kantor SCBD,Kopi Susu Gula Aren,25000,29,False
2024-09-03,Cafe Perumahan Tebet,Milk Tea,21000,16,True
2024-09-17,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,78,True
2024-10-02,Cafe Perumahan Tebet,Cafe Latte,23000,98,True
2024-10-16,Cafe Mall Kokas,Americano,20000,165,True
2024-10-23,Cafe Perumahan Cijantung,Milk Tea,21000,96,True
2024-10-01,Cafe Perumahan Cijantung,Cappuccino,22000,83,True
2024-09-05,Cafe Perumahan Tebet,Cappuccino,22000,94,True
2024-09-15,Cafe Kantor SCBD,Milk Tea,21000,91,False
2024-09-20,Cafe Perumahan Tebet,Americano,20000,81,True
2024-09-19,Cafe Perumahan Cijantung,Cafe Latte,23000,44,True
2024-09-28,Cafe Kantor SCBD,Cafe Latte,23000,75,False
2024-09-13,Cafe Perumahan Cijantung,Cafe Latte,23000,32,True
2024-10-02,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,225,True
2024-09-12,Cafe Kantor SCBD,Milk Tea,21000,279,True
2024-09-05,Cafe Mall Kokas,Cappuccino,22000,213,True
2024-09-06,Cafe Kantor SCBD,Americano,20000,75,True
2024-10-18,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,73,True
2024-09-29,Cafe Perumahan Tebet,Cappuccino,22000,128,False
2024-10-17,Cafe Perumahan Tebet,Cappuccino,22000,100,True
2024-09-18,Cafe Perumahan Tebet,Cafe Latte,23000,35,True
2024-10-15,Cafe Perumahan Cijantung,Americano,20000,83,True
2024-10-03,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,57,True
2024-10-02,Cafe Perumahan Tebet,Cafe Latte,23000,33,True
2024-10-06,Cafe Perumahan Cijantung,Cappuccino,22000,132,False
2024-09-06,Cafe Perumahan Tebet,Milk Tea,21000,33,True
2024-09-27,Cafe Mall Kokas,Milk Tea,21000,45,True
2024-10-05,Cafe Perumahan Tebet,Americano,20000,174,False
2024-09-07,Cafe Mall Kokas,Milk Tea,21000,95,False
2024-10-22,Cafe Kantor SCBD,Milk Tea,21000,177,True
2024-09-20,Cafe Kantor SCBD,Americano,20000,246,True
2024-09-22,Cafe Perumahan Tebet,Milk Tea,21000,146,False
2024-10-02,Cafe Perumahan Cijantung,Americano,20000,64,True
2024-10-16,Cafe Kantor SCBD,Americano,20000,222,True
2024-09-15,Cafe Perumahan Tebet,Americano,20000,58,False
2024-09-27,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,159,True
2024-09-24,Cafe Mall Kokas,Americano,20000,300,True
2024-10-10,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,32,True
2024-10-11,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,33,True
2024-10-13,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,95,False
2024-08-29,Cafe Kantor SCBD,Cappuccino,22000,261,True
2024-09-25,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,162,True
2024-09-04,Cafe Kantor SCBD,Cappuccino,22000,36,True
2024-09-01,Cafe Perumahan Cijantung,Milk Tea,21000,56,False
2024-09-15,Cafe Perumahan Tebet,Milk Tea,21000,114,False
2024-10-07,Cafe Perumahan Tebet,Cafe Latte,23000,54,True
2024-10-06,Cafe Mall Kokas,Americano,20000,18,False
2024-09-03,Cafe Perumahan Cijantung,Cafe Latte,23000,17,True
2024-09-21,Cafe Kantor SCBD,Americano,20000,30,False
2024-09-28,Cafe Kantor SCBD,Cafe Latte,23000,31,False
2024-09-11,Cafe Perumahan Tebet,Cafe Latte,23000,54,True
2024-09-14,Cafe Kantor SCBD,Kopi Susu Gula Aren,25000,16,False
2024-08-27,Cafe Perumahan Tebet,Cappuccino,22000,28,True
2024-09-21,Cafe Mall Kokas,Cafe Latte,23000,38,False
2024-10-01,Cafe Kantor SCBD,Milk Tea,21000,213,True
2024-09-15,Cafe Perumahan Cijantung,Americano,20000,40,False
2024-09-25,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,65,True
2024-09-07,Cafe Mall Kokas,Americano,20000,60,False
2024-08-29,Cafe Kantor SCBD,Cappuccino,22000,39,True
2024-09-22,Cafe Perumahan Tebet,Cappuccino,22000,84,False
2024-09-16,Cafe Perumahan Tebet,Americano,20000,15,True
2024-10-07,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,82,True
2024-10-13,Cafe Perumahan Tebet,Cafe Latte,23000,24,False
2024-09-10,Cafe Kantor SCBD,Cafe Latte,23000,159,True
2024-09-17,Cafe Kantor SCBD,Americano,20000,195,True
2024-10-12,Cafe Kantor SCBD,Americano,20000,96,False
2024-08-31,Cafe Perumahan Cijantung,Cappuccino,22000,116,False
2024-09-13,Cafe Mall Kokas,Cappuccino,22000,267,True
2024-09-24,Cafe Perumahan Tebet,Americano,20000,95,True
2024-10-01,Cafe Perumahan Cijantung,Cafe Latte,23000,39,True
2024-09-10,Cafe Perumahan Cijantung,Cafe Latte,23000,79,True
2024-10-10,Cafe Perumahan Tebet,Cafe Latte,23000,78,True
2024-10-17,Cafe Perumahan Cijantung,Americano,20000,38,True
2024-09-03,Cafe Perumahan Cijantung,Cappuccino,22000,69,True
2024-10-25,Cafe Perumahan Tebet,Cafe Latte,23000,25,True
2024-09-20,Cafe Perumahan Cijantung,Cappuccino,22000,54,True
2024-09-22,Cafe Perumahan Tebet,Cappuccino,22000,130,False
2024-10-15,Cafe Mall Kokas,Milk Tea,21000,171,True
2024-09-17,Cafe Kantor SCBD,Americano,20000,159,True
2024-08-31,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,184,False
2024-09-22,Cafe Kantor SCBD,Kopi Susu Gula Aren,25000,20,False
2024-09-05,Cafe Kantor SCBD,Americano,20000,189,True
2024-08-28,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,11,True
2024-10-12,Cafe Kantor SCBD,Kopi Susu Gula Aren,25000,83,False
2024-09-29,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,92,False
2024-10-12,Cafe Kantor SCBD,Cafe Latte,23000,50,False
2024-09-19,Cafe Mall Kokas,Cappuccino,22000,273,True
2024-09-22,Cafe Kantor SCBD,Americano,20000,54,False
2024-08-28,Cafe Perumahan Tebet,Cafe Latte,23000,16,True
2024-10-03,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,12,True
2024-08-28,Cafe Perumahan Cijantung,Cafe Latte,23000,35,True
2024-09-07,Cafe Perumahan Cijantung,Milk Tea,21000,160,False
2024-09-13,Cafe Perumahan Cijantung,Milk Tea,21000,98,True
2024-10-03,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,100,True
2024-10-09,Cafe Kantor SCBD,Milk Tea,21000,144,True
2024-09-16,Cafe Perumahan Tebet,Cappuccino,22000,97,True
2024-09-08,Cafe Perumahan Tebet,Americano,20000,48,False
2024-10-22,Cafe Kantor SCBD,Americano,20000,96,True
2024-09-04,Cafe Mall Kokas,Milk Tea,21000,264,True
2024-09-16,Cafe Perumahan Tebet,Cappuccino,22000,24,True
2024-09-17,Cafe Perumahan Tebet,Milk Tea,21000,100,True
2024-09-10,Cafe Perumahan Cijantung,Milk Tea,21000,78,True
2024-08-30,Cafe Perumahan Cijantung,Milk Tea,21000,35,True
2024-09-07,Cafe Perumahan Cijantung,Cappuccino,22000,126,False
2024-09-10,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,66,True
2024-10-24,Cafe Kantor SCBD,Americano,20000,165,True
2024-09-01,Cafe Perumahan Tebet,Milk Tea,21000,178,False
2024-09-14,Cafe Perumahan Tebet,Americano,20000,50,False
2024-09-03,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,77,True
2024-10-03,Cafe Mall Kokas,Milk Tea,21000,135,True
2024-09-27,Cafe Perumahan Cijantung,Cafe Latte,23000,50,True
2024-09-23,Cafe Perumahan Cijantung,Cafe Latte,23000,89,True
2024-09-13,Cafe Perumahan Cijantung,Milk Tea,21000,29,True
2024-10-01,Cafe Kantor SCBD,Cappuccino,22000,84,True
2024-10-24,Cafe Perumahan Cijantung,Milk Tea,21000,100,True
2024-10-14,Cafe Kantor SCBD,Cappuccino,22000,99,True
2024-10-25,Cafe Kantor SCBD,Cafe Latte,23000,87,True
2024-09-27,Cafe Kantor SCBD,Americano,20000,243,True
2024-08-31,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,104,False
2024-09-01,Cafe Perumahan Tebet,Americano,20000,118,False
2024-10-06,Cafe Kantor SCBD,Americano,20000,48,False
2024-10-10,Cafe Perumahan Tebet,Milk Tea,21000,36,True
2024-08-29,Cafe Perumahan Tebet,Milk Tea,21000,73,True
2024-08-31,Cafe Kantor SCBD,Cafe Latte,23000,89,False
2024-10-10,Cafe Perumahan Tebet,Milk Tea,21000,15,True
2024-09-21,Cafe Kantor SCBD,Americano,20000,49,False
2024-09-09,Cafe Mall Kokas,Cappuccino,22000,234,True
2024-08-29,Cafe Perumahan Tebet,Cafe Latte,23000,55,True
2024-10-01,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,135,True
2024-09-06,Cafe Perumahan Tebet,Milk Tea,21000,80,True
2024-10-04,Cafe Kantor SCBD,Americano,20000,126,True
2024-10-03,Cafe Perumahan Tebet,Americano,20000,62,True
2024-09-24,Cafe Kantor SCBD,Americano,20000,114,True
2024-08-30,Cafe Mall Kokas,Americano,20000,75,True
2024-09-11,Cafe Mall Kokas,Americano,20000,54,True
2024-09-19,Cafe Perumahan Tebet,Milk Tea,21000,21,True
2024-08-28,Cafe Perumahan Tebet,Cafe Latte,23000,50,True
2024-09-15,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,70,False
2024-10-12,Cafe Perumahan Tebet,Milk Tea,21000,54,False
2024-10-02,Cafe Perumahan Cijantung,Americano,20000,51,True
2024-10-11,Cafe Perumahan Tebet,Milk Tea,21000,55,True
2024-09-18,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,95,True
2024-10-03,Cafe Perumahan Tebet,Cappuccino,22000,26,True
2024-09-29,Cafe Kantor SCBD,Cafe Latte,23000,20,False
2024-08-29,Cafe Kantor SCBD,Americano,20000,72,True
2024-09-11,Cafe Kantor SCBD,Milk Tea,21000,45,True
2024-09-18,Cafe Mall Kokas,Americano,20000,96,True
2024-10-07,Cafe Kantor SCBD,Cappuccino,22000,66,True
2024-10-14,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,14,True
2024-10-13,Cafe Mall Kokas,Cappuccino,22000,94,False
2024-10-24,Cafe Kantor SCBD,Cappuccino,22000,33,True
2024-10-14,Cafe Perumahan Tebet,Cafe Latte,23000,16,True
2024-09-27,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,52,True
2024-10-03,Cafe Perumahan Cijantung,Cappuccino,22000,72,True
2024-10-20,Cafe Perumahan Cijantung,Americano,20000,166,False
2024-10-17,Cafe Perumahan Tebet,Cafe Latte,23000,68,True
2024-09-23,Cafe Kantor SCBD,Cafe Latte,23000,117,True
2024-09-01,Cafe Mall Kokas,Cappuccino,22000,37,False
2024-09-17,Cafe Perumahan Tebet,Cafe Latte,23000,57,True
2024-09-07,Cafe Perumahan Cijantung,Americano,20000,160,False
2024-10-20,Cafe Perumahan Tebet,Cappuccino,22000,114,False
2024-08-30,Cafe Mall Kokas,Cappuccino,22000,252,True
2024-09-13,Cafe Mall Kokas,Americano,20000,141,True
2024-09-09,Cafe Kantor SCBD,Americano,20000,189,True
2024-10-13,Cafe Mall Kokas,Americano,20000,15,False
2024-09-02,Cafe Perumahan Tebet,Americano,20000,78,True
2024-08-31,Cafe Perumahan Cijantung,Cafe Latte,23000,186,False
2024-09-05,Cafe Mall Kokas,Kopi Susu Gula Aren,25000,78,True
2024-10-19,Cafe Perumahan Tebet,Cafe Latte,23000,48,False
2024-10-15,Cafe Kantor SCBD,Milk Tea,21000,75,True
2024-09-17,Cafe Perumahan Cijantung,Cappuccino,22000,88,True
2024-10-12,Cafe Kantor SCBD,Cafe Latte,23000,20,False
2024-09-02,Cafe Kantor SCBD,Milk Tea,21000,240,True
2024-09-10,Cafe Mall Kokas,Cappuccino,22000,225,True
2024-10-24,Cafe Mall Kokas,Milk Tea,21000,243,True
2024-10-03,Cafe Mall Kokas,Americano,20000,162,True
2024-09-04,Cafe Perumahan Tebet,Americano,20000,75,True
2024-10-07,Cafe Kantor SCBD,Cappuccino,22000,180,True
2024-10-06,Cafe Kantor SCBD,Kopi Susu Gula Aren,25000,11,False
2024-09-05,Cafe Kantor SCBD,Cappuccino,22000,36,True
2024-10-08,Cafe Mall Kokas,Milk Tea,21000,252,True
2024-09-09,Cafe Mall Kokas,Cappuccino,22000,75,True
2024-09-22,Cafe Kantor SCBD,Cappuccino,22000,42,False
2024-09-28,Cafe Mall Kokas,Cafe Latte,23000,17,False
2024-10-15,Cafe Kantor SCBD,Cappuccino,22000,102,True
2024-10-23,Cafe Perumahan Cijantung,Kopi Susu Gula Aren,25000,96,True
2024-10-04,Cafe Perumahan Cijantung,Cappuccino,22000,41,True
2024-09-19,Cafe Perumahan Tebet,Kopi Susu Gula Aren,25000,70,True
2024-09-10,Cafe Perumahan Tebet,Cappuccino,22000,42,True
2024-10-14,Cafe Kantor SCBD,Cafe Latte,23000,81,True
2024-09-28,Cafe Perumahan Cijantung,Cappuccino,22000,150,False
2024-08-28,Cafe Mall Kokas,Cappuccino,22000,93,True
2024-10-20,Cafe Kantor SCBD,Cafe Latte,23000,50,False
2024-09-25,Cafe Mall Kokas,Cafe Latte,23000,63,True
2024-09-01,Cafe Perumahan Tebet,Americano,20000,198,False
2024-10-02,Cafe Mall Kokas,Milk Tea,21000,141,True
2024-09-08,Cafe Kantor SCBD,Kopi Susu Gula Aren,25000,21,False
2024-09-06,Cafe Perumahan Tebet,Americano,20000,49,True
2024-10-07,Cafe Kantor SCBD,Cappuccino,22000,252,True
